"carm_elo_full","carm_elo","wins_538","losses_538","chance_making_finals","chance_winning_finals","selected_team","opposing_team","pred_win_rate_538"
1715,1651,62,20,"37%","22%","LA Lakers","LA Lakers",0.75609756097561
1722,1630,57,25,"37%","22%","LA Clippers","LA Clippers",0.695121951219512
1724,1566,55,27,"41%","21%","Philadelphia","Philadelphia",0.670731707317073
1697,1724,65,17,"39%","19%","Milwaukee","Milwaukee",0.792682926829268
1686,1690,53,29,"15%","7%","Houston","Houston",0.646341463414634
1658,1527,54,28,"11%","4%","Boston","Boston",0.658536585365854
1632,1655,55,27,"8%","2%","Toronto","Toronto",0.670731707317073
1621,1634,55,27,"5%","2%","Utah","Utah",0.670731707317073
1617,1557,53,29,"4%","1%","Denver","Denver",0.646341463414634
1637,1626,50,32,"2%","<1%","Dallas","Dallas",0.609756097560976
1574,1423,46,36,"<1%","<1%","Oklahoma City","Oklahoma City",0.560975609756098
1581,1578,38,44,"<1%","<1%","New Orleans","New Orleans",0.463414634146341
1538,1498,51,31,"<1%","<1%","Miami","Miami",0.621951219512195
1567,1495,50,32,"<1%","<1%","Indiana","Indiana",0.609756097560976
1572,1469,37,45,"<1%","<1%","Portland","Portland",0.451219512195122
1552,1454,37,45,"<1%","<1%","Brooklyn","Brooklyn",0.451219512195122
1564,1528,39,43,"<1%","<1%","Orlando","Orlando",0.475609756097561
1457,1363,31,51,"<1%","<1%","Chicago","Chicago",0.378048780487805
1427,1459,30,52,"<1%","<1%","Washington","Washington",0.365853658536585
1452,1452,34,48,"<1%","<1%","San Antonio","San Antonio",0.414634146341463
1450,1446,34,48,"<1%","<1%","Memphis","Memphis",0.414634146341463
1468,1476,33,49,"<1%","<1%","Phoenix","Phoenix",0.402439024390244
1422,1328,28,54,"<1%","<1%","Detroit","Detroit",0.341463414634146
1487,1476,32,50,"<1%","<1%","Sacramento","Sacramento",0.390243902439024
1515,1518,32,50,"<1%","<1%","Minnesota","Minnesota",0.390243902439024
1334,1334,25,57,"<1%","<1%","Charlotte","Charlotte",0.304878048780488
1405,1373,25,57,"<1%","<1%","Atlanta","Atlanta",0.304878048780488
1335,1347,23,59,"<1%","<1%","Cleveland","Cleveland",0.280487804878049
1313,1328,22,60,"<1%","<1%","New York","New York",0.268292682926829
1516,1338,22,60,"<1%","<1%","Golden State","Golden State",0.268292682926829
